kind,league,slot,league_rank,name,url
player,Premier League,38,19,"A. Broja",https://4590football.com/livescore/football/player/138822/a-broja
player,La Liga,38,19,"A. Perez",https://4590football.com/livescore/football/player/551366/a-perez
player,Bundesliga,38,19,"K. Vogt",https://4590football.com/livescore/football/player/713/k-vogt
player,Serie A,38,19,"I. Amerighi",https://4590football.com/livescore/football/player/558546/i-amerighi
player,Ligue 1,38,19,"M. Tourraine",https://4590football.com/livescore/football/player/163234/m-tourraine
team,Premier League,39,20,"Wolves",https://4590football.com/livescore/football/team/39/wolves
team,La Liga,39,20,"Mallorca",https://4590football.com/livescore/football/team/798/mallorca
team,Bundesliga,39,20,"VfL Bochum",https://4590football.com/livescore/football/team/176/vfl-bochum
team,Serie A,39,20,"Pisa",https://4590football.com/livescore/football/team/801/pisa
team,Ligue 1,39,20,"RED Star FC 93",https://4590football.com/livescore/football/team/104/red-star-fc-93
player,Premier League,40,20,"A. Diallo",https://4590football.com/livescore/football/player/157997/a-diallo
player,La Liga,40,20,"A. Izagirre Cestona",https://4590football.com/livescore/football/player/561097/a-izagirre-cestona
player,Bundesliga,40,20,"L. Gjini",https://4590football.com/livescore/football/player/585757/l-gjini
player,Serie A,40,20,"A. Candela",https://4590football.com/livescore/football/player/30770/a-candela
player,Ligue 1,40,20,"G. Larsonneur",https://4590football.com/livescore/football/player/20541/g-larsonneur
player,Premier League,41,21,"A. Disasi",https://4590football.com/livescore/football/player/21998/a-disasi
team,La Liga,41,21,"Las Palmas",https://4590football.com/livescore/football/team/534/las-palmas
player,Bundesliga,41,21,"Simon Walde",https://4590football.com/livescore/football/player/651914/simon-walde
team,Serie A,41,21,"Empoli",https://4590football.com/livescore/football/team/511/empoli
team,Ligue 1,41,21,"Reims",https://4590football.com/livescore/football/team/93/reims
player,Premier League,42,22,"A. Elanga",https://4590football.com/livescore/football/player/153430/a-elanga
player,La Liga,42,21,"Jon García",https://4590football.com/livescore/football/player/338872/jon-garcia
player,Bundesliga,42,22,"V. Stange",https://4590football.com/livescore/football/player/327664/v-stange
player,Serie A,42,21,"F. Delli Carri",https://4590football.com/livescore/football/player/56996/f-delli-carri
player,Ligue 1,42,21,"Q. Beunardeau",https://4590football.com/livescore/football/player/41318/q-beunardeau
player,Premier League,43,23,"A. Garnacho",https://4590football.com/livescore/football/player/284324/a-garnacho
team,La Liga,43,22,"Leganes",https://4590football.com/livescore/football/team/537/leganes
player,Bundesliga,43,23,"E. Fard",https://4590football.com/livescore/football/player/585708/e-fard
team,Serie A,43,22,"Monza",https://4590football.com/livescore/football/team/1579/monza
team,Ligue 1,43,22,"Rodez",https://4590football.com/livescore/football/team/1301/rodez
player,Premier League,44,24,"A. Golambeckis",https://4590football.com/livescore/football/player/557541/a-golambeckis
player,La Liga,44,22,"Enric Franquesa",https://4590football.com/livescore/football/player/129657/enric-franquesa
player,Bundesliga,44,24,"F. Leis",https://4590football.com/livescore/football/player/585758/f-leis
player,Serie A,44,22,"F. Reale",https://4590football.com/livescore/football/player/444077/f-reale
player,Ligue 1,44,22,"A. Abdi",https://4590football.com/livescore/football/player/49583/a-abdi
player,Premier League,45,25,"A. Gomes",https://4590football.com/livescore/football/player/896/a-gomes
team,La Liga,45,23,"Valladolid",https://4590football.com/livescore/football/team/720/valladolid
player,Bundesliga,45,25,"H. Koudossou",https://4590football.com/livescore/football/player/319858/h-koudossou
team,Serie A,45,23,"Venezia",https://4590football.com/livescore/football/team/517/venezia
team,Ligue 1,45,23,"Saint Etienne",https://4590football.com/livescore/football/team/1063/saint-etienne
player,Premier League,46,26,"A. Gordon",https://4590football.com/livescore/football/player/138787/a-gordon
